0
12 15 17 18
0 1 597 3245 0
0 2 674 3245 0
0 3 729 3245 0
1 4 0 0 0
1 5 100 0 0
1 1 597 0 0
2 6 0 0 0
2 7 460 0 0
2 8 461 0 0
2 2 674 0 0
3 9 0 0 0
3 10 19 0 0
3 11 47 0 0
3 12 50 0 0
3 3 729 0 0
4 4 0 0 0
4 5 100 0 0
5 6 0 0 0
5 5 100 0 0
5 7 460 0 0
5 8 461 0 0
6 6 0 0 0
6 7 460 0 0
6 8 461 0 0
7 9 0 0 0
7 7 460 0 0
7 10 19 0 0
7 11 47 0 0
7 12 50 0 0
8 13 0 0 0
8 8 461 0 0
8 14 371 0 0
8 15 374 0 0
9 9 0 0 0
9 10 19 0 0
9 11 47 0 0
9 12 50 0 0
10 13 0 0 0
10 10 19 0 0
10 14 371 0 0
10 15 374 0 0
11 16 0 0 0
11 11 47 0 0
11 17 132 0 0
12 18 0 0 0
12 12 50 0 0
13 13 0 0 0
13 14 371 0 0
13 15 374 0 0
14 16 0 0 0
14 14 371 0 0
14 17 132 0 0
15 18 0 0 0
15 15 374 0 0
16 16 0 0 0
16 17 132 0 0
17 18 0 0 0
17 17 132 0 0
18 18 0 0 0
