0	1	597	25081
0	2	1609	25081
0	3	1717	25081
0	4	1727	25081
0
1	5	0	0
1	6	490	0
1	7	506	0
1	1	597	0
2	8	0	0
2	9	512	0
2	10	520	0
2	2	1609	0
3	11	0	0
3	12	222	0
3	13	264	0
3	14	268	0
3	3	1717	0
4	4	1727	0
4
5	5	0	0
5	6	490	0
5	7	506	0
6	8	0	0
6	6	490	0
6	9	512	0
6	10	520	0
7	11	0	0
7	7	506	0
7	12	222	0
7	13	264	0
7	14	268	0
8	8	0	0
8	9	512	0
8	10	520	0
9	11	0	0
9	9	512	0
9	12	222	0
9	13	264	0
9	14	268	0
10	15	0	0
10	10	520	0
10	16	332	0
10	17	345	0
11	11	0	0
11	12	222	0
11	13	264	0
11	14	268	0
12	15	0	0
12	12	222	0
12	16	332	0
12	17	345	0
13	18	0	0
13	13	264	0
13	19	332	0
14	14	268	0
14
15	15	0	0
15	16	332	0
15	17	345	0
16	18	0	0
16	16	332	0
17	17	345	0
17
18	18	0	0
18	19	332	0
19	19	332	0
19
