0	1	597	8819
0	2	937	8819
0	3	961	8819
0	4	964	8819
0	5	965	8819
0
1	6	0	0
1	7	141	0
1	8	160	0
1	1	597	0
2	9	0	0
2	10	371	0
2	11	384	0
2	2	937	0
3	12	0	0
3	13	201	0
3	14	212	0
3	3	961	0
4	15	0	0
4	16	222	0
4	17	272	0
4	18	276	0
4	4	964	0
5	5	965	0
5
6	6	0	0
6	7	141	0
6	8	160	0
7	9	0	0
7	7	141	0
7	10	371	0
7	11	384	0
8	12	0	0
8	8	160	0
8	13	201	0
8	14	212	0
9	9	0	0
9	10	371	0
9	11	384	0
10	12	0	0
10	10	371	0
10	13	201	0
10	14	212	0
11	15	0	0
11	11	384	0
11	16	222	0
11	17	272	0
11	18	276	0
12	12	0	0
12	13	201	0
12	14	212	0
13	15	0	0
13	13	201	0
13	16	222	0
13	17	272	0
13	18	276	0
14	19	0	0
14	20	141	0
14	14	212	0
15	15	0	0
15	16	222	0
15	17	272	0
15	18	276	0
16	21	0	0
16	22	371	0
16	16	222	0
16	23	379	0
17	19	0	0
17	20	141	0
17	17	272	0
18	18	276	0
18
19	19	0	0
19	20	141	0
20	20	141	0
20
21	21	0	0
21	22	371	0
21	23	379	0
22	19	0	0
22	20	141	0
22	22	371	0
23	23	379	0
23
